Core #0 Usage [%],Core #1 Usage [%],Core #2 Usage [%],Core #3 Usage [%],Core #4 Usage [%],Core #5 Usage [%],Core #6 Usage [%],Core #7 Usage [%]
27.2,18.9,28.7,18.1,26.5,20.4,34.8,12.8
25,22.7,29.5,17.4,20.4,12.8,34.8,24.2
40.9,20.4,28.7,18.9,24.2,15.1,40.9,20.4
31,19.6,31,20.4,22.7,21.9,35.6,20.4
30.3,18.1,34,19.6,24.2,15.1,41.6,23.4
43.9,18.9,25.9,18.9,23.4,13.6,36.3,25
29.3,18,32,18.7,16.5,20.3,35.3,21
30.3,22.7,28.7,21.2,25,18.1,37.1,24.2
34.8,22.7,33.3,22.7,25.7,18.1,45.4,22.7
39.3,23.4,25,21.2,28.7,20.4,39.3,23.4
29.7,16.7,35.8,17.5,21.3,11.4,38.9,16.7
38.3,19.5,31.5,18.7,17.2,18,39.8,21
29,24.4,25.9,19.8,17.5,17.5,41.2,24.4
29.3,18.1,27,15,18.1,12,35.3,18
37.9,26,30.6,25.5,28.9,20.4,44.5,30.6
36.3,21.9,26.5,20.4,21.9,18.1,37.8,21.2
23.6,17.5,29,22.1,17.5,14.5,40.4,20.6
39.8,24.2,29.3,18.7,24,16.5,27.8,25.5
33.5,15.9,32,14.5,29.7,13.7,40.4,25.9
37.5,16.5,24,18.7,19.5,21,42.1,22.5
32,21.6,28.3,18.6,24.6,14.9,35.8,26.8
39.4,24.8,26.2,21.8,27,24.8,35.7,21.1
38.1,22.3,19.4,23,23,19.4,34.5,24.4
50.7,23.4,32.5,21.2,21.9,15.9,42.4,21.9
46.9,20.6,29.5,24.4,28,22.7,43.1,25
35.6,17.2,29.5,16.5,24.2,12.1,40.9,18.1
41.9,32,42.7,29.7,28.2,22.9,45,28.2
53.3,45.8,48.1,39.8,39.8,41.3,60.1,36.8
47.7,31.8,43.9,35.6,39.3,31.8,58.3,33.3
63.6,45.4,51.5,40.9,37.8,37.8,65.9,46.9
64.3,34,43.9,39.3,47.7,36.3,67.4,40.1
43.9,34.8,40.9,27.2,35.6,27.2,60.6,31
44.6,28,40.1,28.7,34.8,33.3,65.1,32.5
50,40.1,39.3,37.8,43.9,35.6,59.8,39.3
56.8,37.8,42.4,39.3,50.7,37.8,60.6,42.4
30.3,28.7,35.6,30.3,37.1,33.3,63.6,28.7
49.2,31,37.8,32.5,35.6,30.3,67.4,33.3
40.9,26.5,31,18.9,36.3,23.4,67.4,28
43.9,33.3,41.6,28.7,40.1,29.5,59.8,31
42.4,34,31,28.7,32.5,30.3,65.9,29.5
37.1,25,32.5,22.7,31.8,27.2,54.5,29.5
49.6,37.2,45.2,35.7,45.9,37.9,70,33.5
43.1,35.6,40.1,29.5,36.3,25.7,61.3,31.8
30.3,25.1,31.1,28.3,31.8,28.1,64.4,23.7
34.3,27.4,37.4,24.2,32.8,22.9,64.1,21.3
39,26.5,40.6,23.4,33.8,29.5,66.9,30.3
41.9,25,38.9,26.5,32.8,29.5,66.4,25.7
36.8,24,37.5,24.8,30,27,70.6,22.5
40.4,24.4,39.6,23.6,32,20.6,62.5,20.6
43.9,26.5,39.3,29.5,41.6,31.8,73.4,31
45.1,30,31.5,27.8,36,27,65.4,27.8
47.7,28.7,43.9,31.8,42.4,33.3,62.8,39.3
48.4,33.3,41.6,31,35.6,31,70.4,34
49.2,37.8,46.2,29.5,49.2,30.3,71.2,29.5
53.7,33.3,42.4,31.8,37.1,30.3,66.6,33.3
52.2,35.6,41.6,31.8,38.6,37.8,62.8,37.1
43.1,31.8,37.1,27.2,34,22.7,69.6,24.2
42.4,26.5,38.6,30.3,40.9,34,62.1,34
39,30.8,39.8,30,35.3,23.3,69.9,27.8
43.9,29.5,37.1,25.7,41.6,28,57.5,34.8
40.1,34.8,37.1,29.5,35.6,29.5,62.1,33.3
45.4,37.1,41.6,32.5,37.1,30.3,67.4,34
40.1,21.2,33.3,20.4,27.2,26.5,67.4,17.4
43.1,24.2,34.8,23.4,31.8,23.4,74.2,30.3
37.1,36.3,34.8,32.5,28.7,29.5,73.4,31
50.7,32.5,41.6,31,43.1,32.5,61.3,34.8
46.7,27.3,36.6,32.3,37.4,28.7,64,33.8
34,28,28,20.4,32.5,23.4,60,23
36.8,25.5,28.5,28.5,37.5,30,41.4,21.4
52.6,39.8,40.6,34.8,42.1,36.8,57.8,38.3
45.8,19,32,28,33.5,23.6,54.1,32
43.6,34.5,38.3,35.3,31.5,31.5,61.6,30
58.3,37.8,46.2,37.1,41.6,36.3,68.1,36.3
52.5,37.2,49.6,37.2,42.3,37.2,55.4,38.6
58.7,28.2,41.9,29,44.2,26.7,64.1,38.1
37.1,30.3,37.1,30.3,39.3,29.5,55.3,33.3
42.4,32.5,39.3,28.7,35.6,31,58.3,37.1
34.2,26.4,39.2,22.8,26.4,23.5,53.5,22.1
41,26.6,38.1,27.3,33,23,55.3,18.7
37.5,31.5,34.5,30,42.1,29.3,63.9,30
